Início de Coleta;ir ao jic;bote marinha;31-05-2014-14:23:01;samsung-SM-T211M;31/05/2014 14:23:01
31/05/2014 14:40:15;-26.294762073084712;-48.75509379431605;0.641646;-0.15322891;7.19218252,9
31/05/2014 14:40:20;-26.294678798876703;-48.75582125969231;0.45010993;-0.80445176;6.809109751,5
31/05/2014 14:40:25;-26.294565056450665;-48.756545623764396;0.91937345;0.0;9.3278152,9
31/05/2014 14:40:30;-26.294414307922125;-48.757250206544995;0.82360536;0.33518824;9.74918952,7
31/05/2014 14:40:35;-26.294268839992583;-48.75796350650489;1.8195933;1.0821792;9.61511452,7
31/05/2014 14:40:40;-26.29414491355419;-48.75867806375027;0.7278373;-0.1436521;8.57124252,2
31/05/2014 14:40:45;-26.294049359858036;-48.75939438119531;0.93852705;0.08619126;8.57124252,0
31/05/2014 14:40:50;-26.293963403441012;-48.760110614821315;2.9592333;-1.6376339;5.918466651,3
31/05/2014 14:40:55;-26.293911058455706;-48.76078812405467;2.1164744;-3.0262709;12.61265546,3
31/05/2014 14:41:00;-26.293824766762555;-48.76154635101557;1.4173675;-4.050989;9.76834355,1
31/05/2014 14:41:05;-26.293695056810975;-48.76228513196111;0.12449849;-2.1643584;6.627150553,3
31/05/2014 14:41:10;-26.29357846453786;-48.76301201060414;0.80445176;-3.9073372;6.856993752,4
31/05/2014 14:41:15;-26.293464261107147;-48.7637413199991;0.6703765;-3.4380736;5.928043453,8
31/05/2014 14:41:20;-26.293306681327522;-48.76448521390557;0.4309563;-3.5338416;8.0062154,0
31/05/2014 14:41:25;-26.29320723004639;-48.76524201594293;1.436521;-3.2752678;10.71644756,2
31/05/2014 14:41:30;-26.293132505379617;-48.766027903184295;0.37349546;-2.7389667;8.79150958,3
31/05/2014 14:41:35;-26.293050781823695;-48.7668374273926;0.89064306;-1.1683705;10.41956655,3
31/05/2014 14:41:40;-26.29298930056393;-48.7675594445318;0.4405331;-0.81402856;5.870582652,9
31/05/2014 14:41:45;-26.292962939478457;-48.76833359710872;1.685518;-0.11492168;11.23359456,9
31/05/2014 14:41:50;-26.292963274754584;-48.76910716295242;0.9576807;-0.37349546;8.43716756,5
31/05/2014 14:41:55;-26.29296352621168;-48.76987963914871;0.10534488;-0.9576807;6.722918553,5
